epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.355,2.23597,2.46253,1.79986,0.07444,0.19643,0.03017,0.0091,2.51111,5.7095,3.06141,0.000653846,0.000653846,0.000653846
2,72.7309,2.19977,1.82061,1.78093,0.02223,0.04762,0.0124,0.00334,2.98196,7.27218,3.93841,0.00118978,0.00118978,0.00118978
3,90.6247,2.18468,1.70184,1.81415,0.05193,0.05357,0.01067,0.00277,2.8371,8.18403,3.24981,0.00159372,0.00159372,0.00159372
4,108.801,2.14,1.63042,1.73337,0.07355,0.23214,0.05072,0.01165,2.5498,5.77811,3.04074,0.001406,0.001406,0.001406
5,128.094,2.07981,1.58669,1.69646,0.04415,0.17262,0.02629,0.00662,2.69411,4.98468,3.13292,0.001208,0.001208,0.001208
6,147.815,2.05668,1.50177,1.67158,0.11147,0.25,0.05835,0.01501,3.02741,5.59795,3.27713,0.00101,0.00101,0.00101
7,168.448,2.04965,1.44555,1.63593,0.09165,0.2381,0.0464,0.01147,2.7108,3.70566,2.76518,0.000812,0.000812,0.000812
8,187.843,1.96778,1.37975,1.61985,0.09781,0.32738,0.07703,0.01836,2.83926,3.9247,2.95832,0.000614,0.000614,0.000614
9,207.16,1.96755,1.29982,1.59401,0.08991,0.14881,0.04468,0.01121,2.93571,4.24418,2.98844,0.000416,0.000416,0.000416
10,226.952,1.92898,1.26917,1.56164,0.12969,0.33333,0.08945,0.02421,2.86736,3.79598,2.90061,0.000218,0.000218,0.000218
